customerid,nrofautomatedtestcases,nrofmanualtestcases,nrofmanualtestcasesexecutedperyear,nrofautomatedtestcasesexecutedperyear,nroftotaltestcasesexecutedperyear,costavoidanceperyear,hoursspentontestingperyear,hoursspentonmanualtestingperyear,hoursspentonautomatedtestingperyear,hoursspentonautomatedtestprep,hoursspentonautomatedtestexec,hoursspentonmanualtestprep,hoursspentonmanualtestexec,Totallaborcostperyear
0,140,560,28728,7182,35910,14169600,3552,2891,661,539,120,9576,479,194054
1,0,2810,2773,0,2773,25502750,1736,1736,0,0,0,693,924,50735
2,0,2810,2773,0,2773,25502750,1736,1736,0,0,0,693,924,50735
3,0,2810,2773,0,2773,25502750,1736,1736,0,0,0,693,924,50735
4,0,2810,2773,0,2773,25502750,1736,1736,0,0,0,693,924,50735
11,0,6558,1541163,0,1541163,13377000,218415,218415,0,0,0,385291,102744,125977
12,0,6558,1541163,0,1541163,19769750,147751,147751,0,0,0,385291,51372,104981
13,0,6558,1541163,0,1541163,19769750,147751,147751,0,0,0,385291,51372,104981
15,0,30522,0,0,0,0,70,70,0,0,0,0,0,233
15,0,30522,0,0,0,0,70,70,0,0,0,0,0,233
16,0,30522,5775,0,5775,462337,29108,29108,0,0,0,19482,9625,602406
19,0,958,9580,0,9580,1336500,640,640,0,0,0,1597,240,45460
23,140,560,23800,5950,29750,14077440,2943,2398,545,446,99,7933,397,132769
24,140,560,23800,5950,29750,0,2943,2398,545,446,99,7933,397,132769
25,140,560,23800,5950,29750,0,2943,2398,545,446,99,7933,397,132769
5,0,1306,1966,0,1966,319500,11145,11145,0,0,0,19696,197,296761
6,0,1306,1966,0,1966,319500,11145,11145,0,0,0,19696,197,296761
7,0,945,2863,0,2863,1404273780,2486,2486,0,0,0,6203,1241,85957
8,0,945,2863,0,2863,1404273780,2486,2486,0,0,0,6203,1241,85957
9,0,2100,14385,0,14385,0,2039,2039,0,0,0,7193,240,65597
10,0,2100,14385,0,14385,0,2039,2039,0,0,0,7193,240,65597
14,140,560,28728,7182,35910,14169600,3552,2891,661,539,120,9576,479,194054
17,140,560,28728,7182,35910,0,3552,2891,661,539,120,9576,479,0
18,60,1126,12296,655,12951,0,5260,4170,1090,1048,44,12296,471,16683
20,0,958,9580,0,9580,1336500,640,640,0,0,0,1597,240,45460
21,0,1126,12296,0,12296,27413700,3552,3552,0,0,0,12296,471,13903
22,0,1126,12296,0,12296,27413700,3552,3552,0,0,0,12296,471,13903
33,140,560,23800,5950,29750,14077440,2943,2398,545,446,99,7933,397,132769
34,140,560,23800,5950,29750,0,2943,2398,545,446,99,7933,397,132769
35,140,560,23800,5950,29750,14077440,2943,2398,545,446,99,7933,397,132769
26,140,560,23800,5950,29750,0,2943,2398,545,446,99,7933,397,132769
27,140,560,23800,5950,29750,0,2943,2398,545,446,99,7933,397,132769
31,0,30522,5775,0,5775,848164,29108,29108,0,0,0,19482,9625,602406
32,0,30522,5775,0,5775,848158,29108,29108,0,0,0,19482,9625,602406
41,0,1126,12296,0,12296,27413700,3552,3552,0,0,0,12296,471,92946
58,11,196,2249,126,2375,18189090,861,655,206,202,4,2249,86,255521
85,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
89,0,315,12569,0,12569,2037500,738,738,0,0,0,2095,210,17429
95,18,342,1505,79,1584,909000,131,114,17,6,7,251,63,4882
96,18,342,1505,79,1584,930000,128,114,14,4,7,251,63,3343
110,0,400,0,0,0,0,0,0,0,0,0,0,0,0
114,0,800,2720,0,2720,0,385,385,0,0,0,1360,113,47989
115,0,800,2720,0,2720,0,385,385,0,0,0,1360,113,47989
124,0,3000,5100,0,5100,462337,1701,1701,0,0,0,850,850,449894
178,0,9368,19476,0,19476,3253250,11640,11640,0,0,0,4869,6492,412305
28,140,560,23800,5950,29750,0,2943,2398,545,446,99,7933,397,132769
29,140,560,23800,5950,29750,0,2943,2398,545,446,99,7933,397,132769
36,140,560,23800,5950,29750,0,2943,2398,545,446,99,7933,397,132769
43,14000,56000,2380000,595000,2975000,146400000,292560,238018,54542,44625,9917,793333,39667,1166589
44,0,6558,1541163,0,1541163,19769750,147751,147751,0,0,0,385291,51372,104981
45,14000,56000,2380000,595000,2975000,144000000,297518,238018,59500,49583,9917,793333,39667,1166589
46,14000,56000,2380000,595000,2975000,30000000,297518,238018,59500,49583,9917,793333,39667,1166589
47,14000,56000,2380000,595000,2975000,30000000,297518,238018,59500,49583,9917,793333,39667,1166589
48,1372,5488,233240,58310,291550,30000000,29173,23342,5831,4859,972,77747,3887,163228
49,1372,5488,233240,58310,291550,3000000,29173,23342,5831,4859,972,77747,3887,163228
50,119,2259,2250,119,2369,0,850,656,194,190,4,2250,86,250665
51,119,2259,2250,119,2369,18649320,850,656,194,190,4,2250,86,250665
52,0,2378,2368,0,2368,15067530,690,690,0,0,0,2368,91,238491
53,0,2378,2368,0,2368,15067530,690,690,0,0,0,2368,91,238491
54,0,1194,1182,0,1182,16448220,344,344,0,0,0,1182,45,218844
37,140,560,23800,5950,29750,0,2943,2398,545,446,99,7933,397,132769
