customerid,nrofautomatedtestcases,nrofmanualtestcases,nrofmanualtestcasesexecutedperyear,nrofautomatedtestcasesexecutedperyear,nroftotaltestcasesexecutedperyear,costavoidanceperyear,hoursspentontestingperyear,hoursspentonmanualtestingperyear,hoursspentonautomatedtestingperyear,hoursspentonautomatedtestprep,hoursspentonautomatedtestexec,hoursspentonmanualtestprep,hoursspentonmanualtestexec,Totallaborcostperyear
0,200,800,41360,10340,51700,2304000,21846,20808,1038,862,172,13787,6893,980000
1,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1400000
2,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1400000
3,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1400000
4,0,9368,32666,0,32666,2275000,19454,19454,0,0,0,8167,10889,1400000
11,0,9368,2201527,0,2201527,2275000,1284622,1284622,0,0,0,550382,733842,1400000
12,0,9368,2201527,0,2201527,2275000,1284622,1284622,0,0,0,550382,733842,1400000
13,0,9368,2201527,0,2201527,2275000,1284622,1284622,0,0,0,550382,733842,1400000
15,0,101739,17804,0,17804,138840,89969,89969,0,0,0,60062,29673,3000000
15,0,101739,17804,0,17804,138840,89969,89969,0,0,0,60062,29673,3000000
16,0,101739,19249,0,19249,138840,97021,97021,0,0,0,64937,32082,3000000
19,0,1368,13680,0,13680,150000,5705,5705,0,0,0,2280,3420,650000
23,200,800,34000,8500,42500,2304000,17978,17128,850,708,142,11333,5667,660909
24,200,800,34000,8500,42500,0,17978,17128,850,708,142,11333,5667,660909
25,200,800,34000,8500,42500,0,17978,17128,850,708,142,11333,5667,660909
5,0,1360,2047,0,2047,150000,23754,23754,0,0,0,20507,2047,650000
6,0,1360,2047,0,2047,150000,23754,23754,0,0,0,20507,2047,650000
7,0,1350,4091,0,4091,196677000,17758,17758,0,0,0,8864,8864,1230000
8,0,1350,4091,0,4091,196677000,17758,17758,0,0,0,8864,8864,1230000
9,0,3000,20550,0,20550,0,13705,13705,0,0,0,10275,3425,500000
10,0,3000,20550,0,20550,0,13705,13705,0,0,0,10275,3425,500000
14,200,800,41360,10340,51700,2304000,21846,20808,1038,862,172,13787,6893,980000
17,200,800,41360,10340,51700,0,21846,20808,1038,862,172,13787,6893,0
18,85,1609,35141,1856,36997,0,78480,48660,29820,29696,124,35141,13471,220000
20,0,1368,13680,0,13680,150000,5705,5705,0,0,0,2280,3420,650000
21,0,1609,35141,0,35141,2001000,48660,48660,0,0,0,35141,13471,220000
22,0,1609,35141,0,35141,2001000,48660,48660,0,0,0,35141,13471,220000
33,200,800,34000,8500,42500,2304000,17978,17128,850,708,142,11333,5667,660909
34,200,800,34000,8500,42500,0,17978,17128,850,708,142,11333,5667,660909
35,200,800,34000,8500,42500,2304000,17978,17128,850,708,142,11333,5667,660909
26,200,800,34000,8500,42500,0,17978,17128,850,708,142,11333,5667,660909
27,200,800,34000,8500,42500,0,17978,17128,850,708,142,11333,5667,660909
31,0,101739,19249,0,19249,254704,97021,97021,0,0,0,64937,32082,3000000
32,0,101739,19249,0,19249,254702,97021,97021,0,0,0,64937,32082,3000000
41,0,1609,35141,0,35141,2001000,48660,48660,0,0,0,35141,13471,1470812
58,15,280,3469,186,3655,2001000,7829,4847,2982,2976,6,3469,1330,2278272
85,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
89,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
95,23,427,2285,124,2409,150000,794,768,26,10,10,381,381,20000
96,23,427,2285,124,2409,150000,794,768,26,10,10,381,381,20000
110,0,1000,4250,0,4250,0,0,0,0,0,0,2125,708,0
114,0,1000,4250,0,4250,0,2834,2834,0,0,0,2125,708,500000
115,0,1000,4250,0,4250,0,2834,2834,0,0,0,2125,708,500000
124,0,10000,17000,0,17000,138840,5668,5668,0,0,0,2833,2833,3000000
178,0,9368,27823,0,27823,2275000,16628,16628,0,0,0,6956,9274,1400000
28,200,800,34000,8500,42500,0,17978,17128,850,708,142,11333,5667,660909
29,200,800,34000,8500,42500,0,17978,17128,850,708,142,11333,5667,660909
36,200,800,34000,8500,42500,0,17978,17128,850,708,142,11333,5667,660909
43,20000,80000,3400000,850000,4250000,24000000,1785128,1700128,85000,70833,14167,1133333,566667,10000000
44,0,9368,2201527,0,2201527,2275000,1284622,1284622,0,0,0,550382,733842,1400000
45,20000,80000,3400000,850000,4250000,24000000,1785128,1700128,85000,70833,14167,1133333,566667,10000000
46,20000,80000,3400000,850000,4250000,5000000,1785128,1700128,85000,70833,14167,1133333,566667,10000000
47,20000,80000,3400000,850000,4250000,5000000,1785128,1700128,85000,70833,14167,1133333,566667,10000000
48,1960,7840,333200,83300,416500,5000000,175058,166728,8330,6942,1388,111067,55533,1400000
49,1960,7840,333200,83300,416500,500000,175058,166728,8330,6942,1388,111067,55533,1400000
50,170,3227,3536,186,3722,0,7921,4939,2982,2976,6,3536,1355,2278272
51,170,3227,3536,186,3722,2001000,7921,4939,2982,2976,6,3536,1355,2278272
52,0,3397,3722,0,3722,2001000,5197,5197,0,0,0,3722,1427,2278272
53,0,3397,3722,0,3722,2001000,5197,5197,0,0,0,3722,1427,2090112
54,0,1705,2026,0,2026,2001000,2827,2827,0,0,0,2026,777,2090112
37,200,800,34000,8500,42500,0,17978,17128,850,708,142,11333,5667,660909
55,85,1620,1925,101,2026,2001000,4306,2687,1619,1616,3,1925,738,2278272
56,0,3397,3722,0,3722,2001000,5197,5197,0,0,0,3722,1427,2090112
57,170,3227,3536,186,3722,2001000,7921,4939,2982,2976,6,3536,1355,2278272
59,0,1705,2026,0,2026,2001000,2827,2827,0,0,0,2026,777,0
64,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
66,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
67,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
68,0,450,17955,0,17955,250000,6013,6013,0,0,0,2993,2993,200000
69,0,1705,3713,0,3713,2001000,5184,5184,0,0,0,3713,1423,2090112
70,0,1705,3713,0,3713,2001000,5184,5184,0,0,0,3713,1423,2090112
